,deputado_id,tipoDespesa
0,69871,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
1,73433,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
2,73441,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
3,73579,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
4,73701,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
5,74057,COMBUSTÍVEIS E LUBRIFICANTES.
6,74090,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
7,74171,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
8,74262,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
9,74537,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
10,74646,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
11,74696,PASSAGEM AÉREA - SIGEPA
12,88256,COMBUSTÍVEIS E LUBRIFICANTES.
13,98148,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
14,107970,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
15,109429,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
16,121948,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
17,123086,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
18,123756,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
19,133439,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
20,136811,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
21,141391,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
22,141398,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
23,141408,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
24,160512,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
25,160527,COMBUSTÍVEIS E LUBRIFICANTES.
26,160538,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
27,160541,COMBUSTÍVEIS E LUBRIFICANTES.
28,160545,COMBUSTÍVEIS E LUBRIFICANTES.
29,160553,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
30,160559,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
31,160600,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
32,160665,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
33,164360,COMBUSTÍVEIS E LUBRIFICANTES.
34,178829,COMBUSTÍVEIS E LUBRIFICANTES.
35,178835,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
36,178876,COMBUSTÍVEIS E LUBRIFICANTES.
37,178881,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
38,178927,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
39,178937,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
40,178972,PASSAGEM AÉREA - SIGEPA
41,178975,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
42,178993,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
43,204356,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
44,204358,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
45,204361,COMBUSTÍVEIS E LUBRIFICANTES.
46,204369,COMBUSTÍVEIS E LUBRIFICANTES.
47,204374,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
48,204378,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
49,204379,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
50,204388,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
51,204423,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
52,204426,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
53,204460,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
54,204462,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
55,204476,PASSAGEM AÉREA - SIGEPA
56,204488,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
57,204495,COMBUSTÍVEIS E LUBRIFICANTES.
58,204501,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
59,204504,COMBUSTÍVEIS E LUBRIFICANTES.
60,204507,COMBUSTÍVEIS E LUBRIFICANTES.
61,204515,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
62,204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
63,204549,COMBUSTÍVEIS E LUBRIFICANTES.
64,204560,COMBUSTÍVEIS E LUBRIFICANTES.
65,204571,COMBUSTÍVEIS E LUBRIFICANTES.
66,204572,COMBUSTÍVEIS E LUBRIFICANTES.
67,205476,COMBUSTÍVEIS E LUBRIFICANTES.
68,206018,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
69,210989,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
